,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Hobart,AU,2021-03-27 00:07:10,-42.8794,147.3294,60.01,82,75,5.75,broken clouds
61,Kropotkin,RU,2021-03-27 00:10:19,45.4375,40.5756,37.0,90,100,6.58,overcast clouds
62,Yellowknife,CA,2021-03-27 00:09:31,62.456,-114.3525,16.0,67,20,11.5,few clouds
63,Bluff,NZ,2021-03-27 00:10:20,-46.6,168.3333,57.69,80,100,6.46,heavy intensity rain
64,Luganville,VU,2021-03-27 00:10:20,-15.5333,167.1667,84.63,71,68,7.81,broken clouds
65,Upernavik,GL,2021-03-27 00:10:21,72.7868,-56.1549,-33.0,83,6,4.61,clear sky
66,Komsomolskiy,UZ,2021-03-27 00:10:21,40.4272,71.7189,51.8,93,75,4.61,mist
67,Hithadhoo,MV,2021-03-27 00:10:22,-0.6,73.0833,82.42,71,65,7.23,broken clouds
68,San Cristobal,VE,2021-03-27 00:10:23,7.7669,-72.225,71.6,100,75,2.3,fog
69,Qaanaaq,GL,2021-03-27 00:10:24,77.484,-69.3632,-9.45,65,100,4.83,overcast clouds
70,Tuatapere,NZ,2021-03-27 00:10:25,-46.1333,167.6833,60.76,70,100,5.66,moderate rain
71,Ponta Do Sol,PT,2021-03-27 00:10:25,32.6667,-17.1,64.4,94,40,9.22,scattered clouds
72,Numan,NG,2021-03-27 00:10:26,9.4667,12.0333,82.83,15,92,5.26,overcast clouds
73,Faanui,PF,2021-03-27 00:10:27,-16.4833,-151.75,82.89,73,8,22.15,light rain
74,San Policarpo,PH,2021-03-27 00:10:28,12.1791,125.5072,81.07,80,79,11.99,broken clouds
75,Pokosnoye,RU,2021-03-27 00:10:28,55.5258,101.0536,22.35,92,85,7.72,overcast clouds
76,Sumbe,AO,2021-03-27 00:10:29,-11.2061,13.8437,76.3,80,97,2.21,overcast clouds
77,Changji,CN,2021-03-27 00:10:29,44.0167,87.3167,44.6,76,75,4.47,broken clouds
78,Kushmurun,KZ,2021-03-27 00:10:29,52.4503,64.6311,28.27,97,100,6.29,light snow
79,Darnah,LY,2021-03-27 00:10:30,32.767,22.6367,52.45,62,19,5.03,few clouds
80,Margate,GB,2021-03-27 00:10:31,51.3813,1.3862,41.0,76,73,4.0,broken clouds
81,Zhigansk,RU,2021-03-27 00:10:31,66.7697,123.3711,12.15,93,100,21.52,light snow
82,Calama,CL,2021-03-27 00:10:31,-22.4667,-68.9333,64.4,24,0,14.97,clear sky
83,Wodonga,AU,2021-03-27 00:10:32,-36.1167,146.8833,63.0,88,75,3.44,broken clouds
84,Punta Arenas,CL,2021-03-27 00:10:32,-53.15,-70.9167,51.01,71,75,8.05,broken clouds
85,Camacha,PT,2021-03-27 00:10:33,33.0833,-16.3333,62.6,94,40,12.66,scattered clouds
86,Meulaboh,ID,2021-03-27 00:07:16,4.1363,96.1285,76.14,84,98,2.64,overcast clouds
87,Gat,IL,2021-03-27 00:10:34,31.61,34.7642,52.0,100,99,1.99,overcast clouds
88,Nanakuli,US,2021-03-27 00:10:34,21.3906,-158.1547,80.6,69,90,8.05,overcast clouds
89,Mecca,SA,2021-03-27 00:09:09,21.4267,39.8261,70.9,52,0,7.61,clear sky
90,Busselton,AU,2021-03-27 00:10:35,-33.65,115.3333,55.0,91,83,5.59,broken clouds
91,Chuy,UY,2021-03-27 00:10:36,-33.6971,-53.4616,67.78,94,100,5.79,overcast clouds
92,Amga,RU,2021-03-27 00:10:36,60.8953,131.9608,21.85,88,100,5.32,overcast clouds
93,Ahipara,NZ,2021-03-27 00:10:37,-35.1667,173.1667,70.09,73,88,15.37,overcast clouds
94,Mataura,NZ,2021-03-27 00:10:37,-46.1927,168.8643,61.32,65,100,3.96,light rain
