,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Cabedelo,BR,75.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
213,Westport,US,68.0,haze,41.1415,-73.3579,The Westport Inn
215,Betul,IN,72.01,clear sky,21.9153,77.8961,STARiHotel Betul MP
218,Anjiang,CN,63.79,overcast clouds,27.3194,110.1031,Dahua Hotel
219,Forbes,AU,70.0,few clouds,-33.3833,148.0167,Lake Forbes Motel
220,Montepuez,MZ,68.04,scattered clouds,-13.1256,38.9997,Complexo Messalo
224,Maryville,US,69.8,broken clouds,35.7565,-83.9705,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
226,Amarante Do Maranhao,BR,72.18,moderate rain,-5.5667,-46.7422,Hotéis Caçulinha
227,Orange,US,63.0,few clouds,33.7,-117.7675,Meadows
231,Waingapu,ID,80.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
233,Umm Lajj,SA,67.06,clear sky,25.0213,37.2685,Moon light Furnished Units
234,Pangobilian,PH,82.27,broken clouds,8.8011,117.8594,Sir Brooke's Resort
235,Houston,US,79.0,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
237,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
238,Labuhan,ID,79.47,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
239,Anuradhapura,LK,75.24,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
243,Caxias Do Sul,BR,68.0,moderate rain,-29.1681,-51.1794,Cosmos Hotel
245,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
248,Russell,US,68.0,broken clouds,32.3502,-85.1999,Macs
249,Dalby,AU,69.8,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
251,Cidreira,BR,70.66,moderate rain,-30.1811,-50.2056,Hotel Castelo
254,Georgetown,MY,78.01,mist,5.4112,100.3354,Cititel Penang
257,Sacramento,US,73.99,clear sky,38.4666,-121.3177,Woodside Homes
258,Lorengau,PG,83.28,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Pokhara,NP,63.84,clear sky,28.2333,83.9833,Butterfly Lodge
261,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
264,Peddapalli,IN,77.72,clear sky,18.6167,79.3667,THE PEDDAPALLI ROCKS/VLOGS/EXTRAS & AF PRODUCTIONS
265,Byron Bay,AU,75.0,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
266,Saldanha,ZA,62.6,moderate rain,-33.0117,17.9442,Blue Bay Lodge
269,Sungaipenuh,ID,65.19,light rain,-2.0833,101.3833,Hotel Jaya Wisata 2
270,Puga,MX,80.6,few clouds,21.5833,-104.8167,Del sol
271,Caravelas,BR,75.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
272,Macaubas,BR,71.33,scattered clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
273,Chicama,PE,69.8,fog,-7.8447,-79.1469,Chicama Me Gusta
274,Port Hueneme,US,62.6,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
275,Prado,BR,76.57,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
277,Jaguarari,BR,76.42,overcast clouds,-10.2639,-40.1958,Hotel Quintal De Casa
282,Sibolga,ID,77.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
283,Dunedin,NZ,66.0,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
285,Kaitangata,NZ,63.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
286,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
289,Arecibo,PR,73.99,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
290,Victor Harbor,AU,69.01,clear sky,-35.5667,138.6167,McCracken Country Club
293,Gushikawa,JP,73.4,broken clouds,26.3544,127.8686,Kirari Guest House
294,Bandarbeyla,SO,77.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
295,Monze,ZM,64.18,scattered clouds,-16.2833,27.4833,Value Lodge
297,Leo,BF,84.11,scattered clouds,11.1,-2.1,Hotel Sissilis
298,Port Lincoln,AU,65.08,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
306,Biloela,AU,81.1,clear sky,-24.4167,150.5,Silo Motor Inn
307,Azoyu,MX,80.8,few clouds,16.7167,-98.7333,Hotel San Luis
311,Cofradia,HN,87.8,scattered clouds,15.4,-88.15,COL.30 DE ENERO
312,Kathu,TH,87.01,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
314,Chokwe,MZ,71.31,scattered clouds,-24.5333,32.9833,Complexo Sonho Real
315,Bentiu,SS,86.76,overcast clouds,9.2333,29.8333,Mandela hôtel
317,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
318,Faro,PT,62.6,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
323,Diu,IN,79.41,clear sky,20.7141,70.9822,Hotel Relax Inn
324,Los Llanos De Aridane,ES,68.0,overcast clouds,28.6585,-17.9182,Valle Aridane
325,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
326,Hokitika,NZ,64.22,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
327,Tabou,CI,78.21,clear sky,4.423,-7.3528,hotêl doufoulougou
328,Namatanai,PG,83.44,moderate rain,-3.6667,152.4333,Namatanai Hotel
330,Ures,MX,73.99,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
331,Shiraz,IR,64.4,clear sky,29.6036,52.5388,Kowsar Hotel
334,Huilong,CN,63.0,light rain,31.8111,121.655,Hilton Garden Inn Qidong
340,Mount Isa,AU,86.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
341,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
345,Acarau,BR,76.17,overcast clouds,-2.8856,-40.12,castelo pizzaria
347,Kimbe,PG,88.34,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
348,Wanaka,NZ,64.15,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
349,Dingle,PH,81.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
350,Excelsior Springs,US,62.01,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
352,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
355,Cayenne,GF,80.01,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
358,San Pedro,PH,86.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
359,Sinnamary,GF,77.86,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
360,Cocorit,MX,73.4,clear sky,27.5833,-109.9667,Kaba Motel
361,Mayo,US,68.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
362,Kisangani,CD,67.51,overcast clouds,0.5167,25.2,Grand Ramela Hotel
363,Porirua,NZ,69.01,broken clouds,-41.1333,174.85,Amethyst Court Motor lodge (Best Price on direct bookings)
366,Ponta Pora,BR,74.3,few clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
367,Kaeo,NZ,69.01,light rain,-35.1,173.7833,Bushido Lodge
368,La Primavera,CO,77.5,heavy intensity rain,5.4906,-70.4092,La Riviera Hotel Colonial
370,Geraldton,AU,60.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
372,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
373,Nsanje,MW,71.56,clear sky,-16.92,35.262,Nsanje Discovery Lodge
374,Kapit,MY,73.31,light rain,2.0167,112.9333,Hotel Meligai Kapit
376,Omboue,GA,77.61,overcast clouds,-1.5746,9.2618,Hotel Olako
378,Bowen,AU,84.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
379,Poso,ID,75.42,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
380,Bubaque,GW,76.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
384,Maxixe,MZ,73.78,light rain,-23.8597,35.3472,Oceano
385,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
390,Dillon,US,73.0,clear sky,34.4166,-79.3712,Dillon Express Inn
392,Cairns,AU,87.8,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
394,Monte Alegre,BR,74.91,broken clouds,-2.0078,-54.0692,Hotel Shekinah
397,Waipawa,NZ,69.8,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
398,Riyadh,SA,82.4,clear sky,24.6877,46.7219,InterContinental Riyadh
401,Touho,NC,80.58,few clouds,-20.7833,165.2333,Auberge Timay Evasion
403,Atar,MR,80.71,clear sky,20.5169,-13.0499,Oumou Elghoura
